"lon","lat","tmp_1"
-115.25,37.75,-5
-114.75,37.75,-6.5
-114.25,37.75,-7
-113.75,37.75,-8.10000038146973
-113.25,37.75,-7.90000009536743
-123.25,38.25,7.5
-122.75,38.25,6.90000009536743
-122.25,38.25,6.40000009536743
-121.75,38.25,5.90000009536743
-121.25,38.25,5.70000028610229
-120.75,38.25,3.40000009536743
-120.25,38.25,-1
-119.75,38.25,-5.70000028610229
-119.25,38.25,-6
-118.75,38.25,-5.40000009536743
-118.25,38.25,-4.70000028610229
-117.75,38.25,-4.80000019073486
-117.25,38.25,-4.80000019073486
-116.75,38.25,-6.30000019073486
-116.25,38.25,-7.09999990463257
-115.75,38.25,-6.80000019073486
-115.25,38.25,-6.90000009536743
-114.75,38.25,-8.10000038146973
-114.25,38.25,-9.10000038146973
-113.75,38.25,-9.60000038146973
-113.25,38.25,-9.19999980926514
-123.75,38.75,6.90000009536743
-123.25,38.75,6.70000028610229
-122.75,38.75,5.5
-122.25,38.75,4.70000028610229
-121.75,38.75,5.09999990463257
-121.25,38.75,4.40000009536743
-120.75,38.75,2.60000014305115
-120.25,38.75,-3.70000004768372
-119.75,38.75,-6
-119.25,38.75,-5.90000009536743
-118.75,38.75,-5.70000028610229
-118.25,38.75,-5.90000009536743
-117.75,38.75,-7.59999990463257
-117.25,38.75,-8.69999980926514
-116.75,38.75,-8.80000019073486
-116.25,38.75,-9
-115.75,38.75,-8
-115.25,38.75,-9
-114.75,38.75,-9.60000038146973
-114.25,38.75,-10
-113.75,38.75,-10
-113.25,38.75,-9.69999980926514
-123.75,39.25,7
-123.25,39.25,5.09999990463257
-122.75,39.25,3.60000014305115
-122.25,39.25,4.90000009536743
-121.75,39.25,5.30000019073486
-121.25,39.25,4.30000019073486
-120.75,39.25,0.200000002980232
-120.25,39.25,-4
-119.75,39.25,-5.09999990463257
-119.25,39.25,-4.59999990463257
-118.75,39.25,-5.09999990463257
-118.25,39.25,-6.09999990463257
-117.75,39.25,-8
-117.25,39.25,-6.90000009536743
-116.75,39.25,-8.60000038146973
-116.25,39.25,-9.80000019073486
-115.75,39.25,-9.90000057220459
-115.25,39.25,-10.1000003814697
-114.75,39.25,-11.1999998092651
-114.25,39.25,-10.9000005722046
-113.75,39.25,-9.69999980926514
-113.25,39.25,-9.80000019073486
-124.25,39.75,5.70000028610229
-123.75,39.75,5.90000009536743
-123.25,39.75,3.79999995231628
-122.75,39.75,3.10000014305115
-122.25,39.75,5.70000028610229
-121.75,39.75,4.59999990463257
-121.25,39.75,1.10000002384186
-120.75,39.75,-2.10000014305115
-120.25,39.75,-3.60000014305115
-119.75,39.75,-3.70000004768372
-119.25,39.75,-6.80000019073486
-118.75,39.75,-6.09999990463257
-118.25,39.75,-7.5
-117.75,39.75,-7.59999990463257
-117.25,39.75,-7.40000009536743
-116.75,39.75,-9.10000038146973
-116.25,39.75,-9.60000038146973
-115.75,39.75,-10.6000003814697
-115.25,39.75,-11
-114.75,39.75,-10.8000001907349
-114.25,39.75,-10.1000003814697
-113.75,39.75,-9.40000057220459
-113.25,39.75,-8.90000057220459
-124.25,40.25,6
-123.75,40.25,4.70000028610229
-123.25,40.25,1.70000004768372
-122.75,40.25,3.20000004768372
-122.25,40.25,5.30000019073486
-121.75,40.25,0.800000011920929
-121.25,40.25,-2
-120.75,40.25,-2.60000014305115
-120.25,40.25,-2.60000014305115
-119.75,40.25,-5.5
-119.25,40.25,-6.5
-118.75,40.25,-6.59999990463257
-118.25,40.25,-7.09999990463257
-117.75,40.25,-7.59999990463257
-117.25,40.25,-8
-116.75,40.25,-9.30000019073486
-116.25,40.25,-10
-115.75,40.25,-10.9000005722046
-115.25,40.25,-11.5
-114.75,40.25,-10.1999998092651
-114.25,40.25,-9.60000038146973
-113.75,40.25,-8.30000019073486
-113.25,40.25,-8.19999980926514
-124.25,40.75,6.90000009536743
-123.75,40.75,3.79999995231628
-123.25,40.75,1.60000002384186
-122.75,40.75,1.20000004768372
-122.25,40.75,3.10000014305115
-121.75,40.75,-1.30000007152557
-121.25,40.75,-3.5
-120.75,40.75,-4.90000009536743
-120.25,40.75,-4.90000009536743
-119.75,40.75,-6.09999990463257
-119.25,40.75,-6.09999990463257
-118.75,40.75,-7
-118.25,40.75,-7.80000019073486
-117.75,40.75,-8.90000057220459
-117.25,40.75,-8.80000019073486
-116.75,40.75,-9.5
-116.25,40.75,-10.6000003814697
-115.75,40.75,-11.1999998092651
-115.25,40.75,-12.1000003814697
-114.75,40.75,-10
-114.25,40.75,-9
-113.75,40.75,-7.59999990463257
-113.25,40.75,-7.5
-124.25,41.25,4.80000019073486
-123.75,41.25,2.60000014305115
-123.25,41.25,-0.800000011920929
-122.75,41.25,-2.40000009536743
-122.25,41.25,-2
-121.75,41.25,-2.40000009536743
-121.25,41.25,-2.70000004768372
-120.75,41.25,-4.09999990463257
-120.25,41.25,-7.09999990463257
-119.75,41.25,-8.40000057220459
-119.25,41.25,-8.10000038146973
-118.75,41.25,-7.80000019073486
-118.25,41.25,-8.10000038146973
-117.75,41.25,-8.10000038146973
